cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,polintr,trstprl,trstplt,vote,lrscale,gincdif,imbgeco,imueclt,imwbcnt,gndr,agea,eisced,eduyrs,mnactic
DE,ESS1-8e01,1.0,12.12.2018,71349,ESS2e03_6,2,3.6,191211,1.2465,2.07425463492609,2.45294567944251,4,1,1,2,88,2,2,1,2,2,63,2,8,6
DE,ESS1-8e01,1.0,12.12.2018,71350,ESS2e03_6,2,3.6,191217,1.2465,1.12373172026236,2.45294567944251,4,1,1,2,88,2,2,3,3,2,32,3,13,3
DE,ESS1-8e01,1.0,12.12.2018,71351,ESS2e03_6,2,3.6,191226,1.2465,2.07425463492609,2.45294567944251,4,1,1,2,88,2,1,1,1,2,68,2,9,8
DE,ESS1-8e01,1.0,12.12.2018,71352,ESS2e03_6,2,3.6,191235,1.2465,1.15936483932406,2.45294567944251,4,2,1,2,88,4,2,3,2,1,40,3,12,1
DE,ESS1-8e01,1.0,12.12.2018,71353,ESS2e03_6,2,3.6,191306,1.2465,0.8182753308778,2.45294567944251,3,3,2,1,4,4,2,3,3,2,45,3,12,1
DE,ESS1-8e01,1.0,12.12.2018,71354,ESS2e03_6,2,3.6,191333,1.2465,1.14008372647579,2.45294567944251,3,2,3,2,88,4,2,3,3,2,999,2,8,6
DE,ESS1-8e01,1.0,12.12.2018,71355,ESS2e03_6,2,3.6,192119,1.2465,0.97836946377701,2.45294567944251,2,3,7,2,5,3,7,8,9,2,71,3,12,6
DE,ESS1-8e01,1.0,12.12.2018,71356,ESS2e03_6,2,3.6,192122,1.2465,0.849292893468597,2.45294567944251,2,2,1,1,6,3,10,10,7,1,42,7,19,1
DE,ESS1-8e01,1.0,12.12.2018,71357,ESS2e03_6,2,3.6,192205,1.2465,0.8182753308778,2.45294567944251,3,1,2,2,4,2,2,2,1,2,39,3,14,1
DE,ESS1-8e01,1.0,12.12.2018,71358,ESS2e03_6,2,3.6,192211,1.2465,1.09799514701948,2.45294567944251,3,5,3,1,5,1,4,5,3,1,27,3,12,1
DE,ESS1-8e01,1.0,12.12.2018,71359,ESS2e03_6,2,3.6,192217,1.2465,1.11991650403951,2.45294567944251,2,4,3,1,6,4,5,5,4,1,64,3,11,6
DE,ESS1-8e01,1.0,12.12.2018,71360,ESS2e03_6,2,3.6,192223,1.2465,0.855380121725142,2.45294567944251,1,4,6,1,4,4,5,5,5,1,56,5,11,1
DE,ESS1-8e01,1.0,12.12.2018,71361,ESS2e03_6,2,3.6,192232,1.2465,0.97836946377701,2.45294567944251,2,4,4,1,5,3,1,4,3,2,62,3,13,1
DE,ESS1-8e01,1.0,12.12.2018,71362,ESS2e03_6,2,3.6,192235,1.2465,1.11991650403951,2.45294567944251,2,0,1,1,6,2,3,3,3,1,74,3,12,1
DE,ESS1-8e01,1.0,12.12.2018,71363,ESS2e03_6,2,3.6,192303,1.2465,1.36891452445628,2.45294567944251,2,3,2,1,5,3,6,8,5,2,34,6,16,1
DE,ESS1-8e01,1.0,12.12.2018,71364,ESS2e03_6,2,3.6,192315,1.2465,1.15936483932406,2.45294567944251,3,7,5,1,7,1,5,5,5,1,47,3,11,1
DE,ESS1-8e01,1.0,12.12.2018,71365,ESS2e03_6,2,3.6,192318,1.2465,1.12373172026236,2.45294567944251,3,0,0,1,7,2,2,4,3,2,20,3,13,1
DE,ESS1-8e01,1.0,12.12.2018,71366,ESS2e03_6,2,3.6,192321,1.2465,0.833888690434351,2.45294567944251,2,5,5,1,5,4,8,9,8,2,41,5,15,1
DE,ESS1-8e01,1.0,12.12.2018,71367,ESS2e03_6,2,3.6,192327,1.2465,1.12373172026236,2.45294567944251,3,6,3,3,2,3,8,10,7,2,20,3,9,1
DE,ESS1-8e01,1.0,12.12.2018,71368,ESS2e03_6,2,3.6,192330,1.2465,1.15936483932406,2.45294567944251,1,5,5,1,4,3,6,6,6,1,35,5,16,1
DE,ESS1-8e01,1.0,12.12.2018,71369,ESS2e03_6,2,3.6,193101,1.2465,0.855380121725142,2.45294567944251,3,2,1,1,5,2,4,5,4,1,70,5,11,6
DE,ESS1-8e01,1.0,12.12.2018,71370,ESS2e03_6,2,3.6,193107,1.2465,1.22516603721158,2.45294567944251,3,7,7,3,1,3,7,8,8,2,16,1,10,2
DE,ESS1-8e01,1.0,12.12.2018,71371,ESS2e03_6,2,3.6,193110,1.2465,0.8182753308778,2.45294567944251,2,0,0,1,5,1,0,5,3,2,35,3,12,3
DE,ESS1-8e01,1.0,12.12.2018,71372,ESS2e03_6,2,3.6,193125,1.2465,0.849292893468597,2.45294567944251,2,6,4,1,4,4,8,10,8,1,37,6,20,1
DE,ESS1-8e01,1.0,12.12.2018,71373,ESS2e03_6,2,3.6,193128,1.2465,1.09799514701948,2.45294567944251,1,4,5,1,3,2,8,8,7,1,21,3,15,8
DE,ESS1-8e01,1.0,12.12.2018,71374,ESS2e03_6,2,3.6,193134,1.2465,1.93688149826813,2.45294567944251,1,0,0,1,5,2,5,5,5,2,36,2,11,1
DE,ESS1-8e01,1.0,12.12.2018,71375,ESS2e03_6,2,3.6,193205,1.2465,1.11991650403951,2.45294567944251,2,6,4,1,4,2,5,8,6,1,67,3,13,6
DE,ESS1-8e01,1.0,12.12.2018,71376,ESS2e03_6,2,3.6,193214,1.2465,1.15936483932406,2.45294567944251,1,6,2,1,5,3,5,7,4,1,54,3,10,1
DE,ESS1-8e01,1.0,12.12.2018,71377,ESS2e03_6,2,3.6,193217,1.2465,0.97836946377701,2.45294567944251,2,0,2,1,3,2,3,5,2,2,64,3,11,6
DE,ESS1-8e01,1.0,12.12.2018,71378,ESS2e03_6,2,3.6,193226,1.2465,1.09799514701948,2.45294567944251,4,5,5,2,5,2,3,6,5,1,24,3,12,1
DE,ESS1-8e01,1.0,12.12.2018,71379,ESS2e03_6,2,3.6,193229,1.2465,1.22289800433886,2.45294567944251,3,88,77,3,77,7,10,10,10,1,999,7,16,5
DE,ESS1-8e01,1.0,12.12.2018,71380,ESS2e03_6,2,3.6,193303,1.2465,2.07425463492609,2.45294567944251,4,0,0,2,5,8,5,8,5,2,69,2,9,6
DE,ESS1-8e01,1.0,12.12.2018,71381,ESS2e03_6,2,3.6,193306,1.2465,0.849292893468597,2.45294567944251,1,8,6,1,2,3,7,8,8,1,54,6,18,1
DE,ESS1-8e01,1.0,12.12.2018,71382,ESS2e03_6,2,3.6,193309,1.2465,0.994706366656172,2.45294567944251,2,7,6,1,3,3,4,5,5,1,31,7,17,1
DE,ESS1-8e01,1.0,12.12.2018,71383,ESS2e03_6,2,3.6,193312,1.2465,0.97836946377701,2.45294567944251,2,3,2,1,6,4,1,6,3,2,61,5,15,6
DE,ESS1-8e01,1.0,12.12.2018,71384,ESS2e03_6,2,3.6,193321,1.2465,0.833888690434351,2.45294567944251,2,8,5,1,3,3,8,10,7,2,38,6,18,1
DE,ESS1-8e01,1.0,12.12.2018,71385,ESS2e03_6,2,3.6,193324,1.2465,1.25318642122874,2.45294567944251,4,3,3,2,5,2,5,7,4,1,999,77,77,1
DE,ESS1-8e01,1.0,12.12.2018,71386,ESS2e03_6,2,3.6,193333,1.2465,0.849292893468597,2.45294567944251,2,8,3,1,2,5,7,10,5,1,42,5,15,1
DE,ESS1-8e01,1.0,12.12.2018,71387,ESS2e03_6,2,3.6,193336,1.2465,0.97836946377701,2.45294567944251,4,3,2,1,5,2,5,6,5,2,73,3,9,6
DE,ESS1-8e01,1.0,12.12.2018,71388,ESS2e03_6,2,3.6,194101,1.2465,3.42512427323399,2.45294567944251,2,0,0,3,4,2,8,9,9,1,42,1,9,1
